25,203
189,284
189,203
440,284
440,203
688,289
685,203
936,289
936,203
1184,287
1184,203
1432,287
1435,203
1680,287
25,284
189,373
189,287
437,370
437,287
688,370
688,287
936,373
933,284
1181,373
1181,287
1432,373
1432,287
1680,376
25,370
189,454
192,370
440,457
440,370
688,454
688,367
933,454
933,370
1184,451
1184,370
1435,457
1432,373
1680,454
25,457
189,537
189,457
437,537
440,454
688,540
691,457
936,537
936,457
1184,537
1184,454
1435,540
1435,457
1677,540
25,540
189,621
189,537
440,624
437,537
688,621
691,540
936,621
936,540
1184,621
1184,537
1435,621
1432,537
1680,621
25,624
189,707
189,624
437,707
440,624
688,707
688,621
936,707
939,624
1181,707
1184,624
1432,705
1432,621
1680,705
25,710
189,791
189,707
440,791
440,705
685,791
685,710
933,788
933,707
1184,794
1181,707
1432,788
1432,707
1680,788
25,791
189,877
189,791
437,875
440,791
688,875
688,788
936,875
936,791
1184,872
1184,791
1432,872
1432,788
1680,875
25,875
189,958
189,875
440,958
437,875
688,958
688,875
936,958
936,875
1184,961
1184,877
1435,958
1435,875
1680,958
25,964
189,1039
189,958
440,1042
440,958
688,1045
688,958
933,1042
936,958
1184,1042
1184,958
1432,1042
1432,958
1680,1039
